Date,temp_F,temp_delta_f,prec_in,prec_delta_in,PZIndex,PZIndex_delta
199001,36.5,6.38,2.79,0.48,-0.95,-1.18
199002,36.7,2.88,2.68,0.55,1.75,1.69
199003,44.74,3.24,2.71,0.2,-0.39,-0.27
199004,52.52,1.47,2.49,-0.03,-0.44,-0.58
199005,58.86,-1.34,3.83,0.92,3.19,3.13
199006,70.23,1.74,2.5,-0.43,-1.5,-1.66
199007,73.26,-0.35,2.94,0.16,0.59,0.33
199008,72.28,0.18,2.65,0.03,0.26,0.08
199009,67.35,2.49,2.04,-0.45,-2.02,-2.07
199010,53.98,-0.13,2.76,0.6,1.72,1.58
199011,44.92,3.23,2.09,-0.14,-0.8,-0.79
199012,30.83,-1.85,2.69,0.34,0.78,0.76
199101,29.48,-0.64,2.37,0.06,1.02,0.79
199102,39.81,5.99,1.64,-0.49,-1.78,-1.84
199103,43.32,1.82,3.33,0.82,1.94,2.06
199104,52.54,1.49,3.35,0.83,2.04,1.9
199105,61.97,1.77,3.72,0.81,1.68,1.62
199106,69.08,0.59,2.84,-0.09,-0.15,-0.31
199107,73.89,0.28,2.7,-0.08,0.31,0.05
199108,72.99,0.89,2.6,-0.02,-0.09,-0.27
199109,64.9,0.04,2.53,0.04,0.15,0.1
199110,54.75,0.64,2.1,-0.06,-0.21,-0.35
199111,39.43,-2.26,2.49,0.26,0.85,0.86
199112,35.74,3.06,2.77,0.42,0.99,0.97
199201,33.62,3.5,2.08,-0.23,0.51,0.28
199202,39.7,5.88,2.32,0.19,0.16,0.1
199203,44.71,3.21,2.51,0,-1,-0.88
199204,52.54,1.49,2.06,-0.46,-1.69,-1.83
199205,61.16,0.96,2.29,-0.62,-2.03,-2.09
199206,67.44,-1.05,3.39,0.46,1.68,1.52
199207,71.22,-2.39,3.65,0.87,3.39,3.13
199208,69.84,-2.26,2.9,0.28,2.74,2.56
199209,64.67,-0.19,2.33,-0.16,0.02,-0.03
199210,54.54,0.43,1.67,-0.49,-1.08,-1.22
199211,40.06,-1.63,3.27,1.04,3.34,3.35
199212,31.75,-0.93,2.79,0.44,3.13,3.11
199301,30.47,0.35,3.2,0.89,4.14,3.91
199302,31.14,-2.68,2.18,0.05,0.86,0.8
199303,41.79,0.29,2.85,0.34,0.9,1.02
